Step,x,y,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5
1,392.547181442635,53.7374517135326,0,0,0,0,0
2,383.09436288527,50.4749034270652,0,0,0,0,0
3,373.641544327904,47.2123551405979,0,0,0,0,0
4,364.188725770539,43.9498068541305,0,0,0,0,0
5,354.735907213174,40.6872585676631,0,0,0,0,-0.0350191240524125
6,345.283088655809,37.4247102811957,0,0,0,0,0.127852955605517
7,335.830270098443,34.1621619947284,0,0,0,0,0.0472097169486744
8,335.830270098443,34.1621619947284,0,0,0,0,0.0627979086663457
9,345.283088655809,30.899613708261,0,0,0,0,-0.0200893319716996
10,354.735907213174,27.6370654217936,0,0,0,0,0
11,364.188725770539,24.3745171353262,0,0,0,0,0
12,373.641544327904,21.1119688488589,0,0,0,0,0
13,383.09436288527,17.8494205623915,0,0,0,0,0
14,392.547181442635,14.5868722759241,0,0,0,0,0
15,402,11.3243239894567,0,0,0,0,0
16,402,11.3243239894567,0,0,0,0,0
17,411.452818557365,14.5868722759241,0,0,0,0,0
18,420.90563711473,17.8494205623915,0,0,0,0,0
19,430.358455672096,21.1119688488589,0,0,0,0,0
20,439.811274229461,24.3745171353262,0,0,0,0,0
21,449.264092786826,27.6370654217936,0,0,0,0,0
22,458.716911344191,30.899613708261,0,0,0,0,0
23,468.169729901557,34.1621619947284,0,0,0,0,0
24,477.622548458922,37.4247102811957,0,0,0,0,0
25,487.075367016287,40.6872585676631,0,0,0,0,0
26,487.075367016287,40.6872585676631,0,0,0,0,0
27,478.59296344807,45.9833731534612,0,0,0,0,0
28,470.110559879853,51.2794877392593,0,0,0,0,0
29,461.628156311637,56.5756023250573,0,0,0,0,0
30,453.14575274342,61.8717169108554,0,0,0,0,0
31,444.663349175203,67.1678314966535,0,0,0,0,0
32,436.180945606986,72.4639460824516,0,0,0,0,0
33,427.698542038769,77.7600606682496,0,0,0,0,0
34,419.216138470553,83.0561752540477,0,0,0,0,0
35,410.733734902336,88.3522898398458,0,0,0,0,0
36,402.251331334119,93.6484044256439,0,0,0,0,0
37,393.768927765902,98.944519011442,0,0,0,0,0
38,385.286524197685,104.24063359724,0,0,0,0,0
39,376.804120629469,109.536748183038,0,0,0,0,0
40,368.321717061252,114.832862768836,0,0,0,0,0
41,359.839313493035,120.128977354634,0,0,0,0,-0.0308431395079904
42,351.356909924818,125.425091940432,0,0,0,0,0.184237112217635
43,342.874506356601,130.72120652623,0,0,0,0,0.065749547249301
44,334.392102788385,136.017321112029,0,0,0,0,0.209906127570083
45,334.392102788385,136.017321112029,0,0,0,0,0.13729277276394
46,342.874506356601,141.313435697827,0,0,0,0,0.0380982213818489
47,351.356909924818,146.609550283625,0,0,0,-0.0121791319890141,0
48,359.839313493035,151.905664869423,0,0,0,0.0963695346032583,0
49,368.321717061252,157.201779455221,0,0,0,0.278540505896081,0
50,376.804120629469,162.497894041019,0,0,0,0.348506342611833,0
51,381.642228488643,153.746167791701,0,0,0,0.239752300221752,0
52,386.480336347818,144.994441542384,0,0,0,0.290779511764884,0
53,391.318444206993,136.242715293067,0,0,0,0.148386345342035,0
54,396.156552066168,127.490989043749,0,0,0,0.13974740585884,0
55,400.994659925343,118.739262794432,0,0,0,0,0
56,405.832767784517,109.987536545114,0,0,0,0,0
57,410.670875643692,101.235810295797,0,0,0,0,0
58,415.508983502867,92.4840840464797,0,0,0,0,0
59,420.347091362042,83.7323577971623,0,0,0,0,0
60,425.185199221216,74.9806315478449,0,0,0,0,0
61,430.023307080391,66.2289052985275,0,0,0,0,0
62,434.861414939566,57.47717904921,0,0,0,0,0
63,439.699522798741,48.7254527998926,0,0,0,0,0
64,444.537630657916,39.9737265505752,0,0,0,0,0
65,449.37573851709,31.2220003012578,0,0,0,0,0
66,454.213846376265,22.4702740519404,0,0,0,0,0
67,459.05195423544,13.718547802623,0,0,0,0,0
68,459.05195423544,13.718547802623,0,0,0,0,0
69,463.890062094615,22.4702740519404,0,0,0,0,0
70,468.72816995379,31.2220003012578,0,0,0,0,0
71,473.566277812964,39.9737265505752,0,0,0,0,0
72,478.404385672139,48.7254527998926,0,0,0,0,0
73,483.242493531314,57.47717904921,0,0,0,0,0
74,488.080601390489,66.2289052985275,0,0,0,0,0
75,488.080601390489,66.2289052985275,0,0,0,0,0
76,488.369555511684,56.2330808945153,0,0,0,0,0
77,488.658509632879,46.2372564905032,0,0,0,0,0
78,488.947463754074,36.2414320864911,0,0,0,0,0
79,489.23641787527,26.245607682479,0,0,0,0,0
80,489.525371996465,16.2497832784668,0,0,0,0,0
81,489.525371996465,16.2497832784668,0,0,0,0,0
82,489.81432611766,26.245607682479,0,0,0,0,0
83,489.81432611766,26.245607682479,0,0,0,0,0
84,489.525371996465,36.2414320864911,0,0,0,0,0
85,489.23641787527,46.2372564905032,0,0,0,0,0
86,488.947463754074,56.2330808945153,0,0,0,0,0
87,488.658509632879,66.2289052985275,0,0,0,0,0
88,488.369555511684,76.2247297025396,0,0,0,0,0
89,488.080601390489,86.2205541065517,0,0,0,0,0
90,487.791647269293,96.2163785105638,0,0,0,0,0
91,487.502693148098,106.212202914576,0,0,0,0,0
92,487.213739026903,116.208027318588,0,0,0,0,0
93,486.924784905708,126.2038517226,0,0,0,0,0
94,486.635830784513,136.199676126612,0,0,0,0,0
95,486.346876663317,146.195500530624,0,0,0,0,0
96,486.057922542122,156.191324934637,0,0,0,0,0
